userAddress,active
C1eTJvDRaURqmN62ywKxTMHz7Zh3xp9zLack41W9egTr,1
0xE14376E4495732518954227Aa3E15868b6bf8483,1
0x310B20aCaC99B6C2E44c97560426f8dE5d3Cef96,1
0x3487F300eB9A45F809c89902F3444793f6Ad8571,1
0x198741C93856371E220Ae6a515DecDCF963AD380,1
3ugJJmd8P5c3jynpvwULmJytSaUtdJ3Jo46z8Qj5g4Ev,1
0x01D07347ef0cA54bbf85F03611c93897c8E9D652,1
0x98b055b87ce7fcE2F71E6805F0827DA1FB3d0f34,1
puniaviision.eth,1
sizzka.eth,1
bitcapone.eth,1
joshyzen.eth,1
0xC753E17f6f15824441C074Be1B7394dF2a03221d,1
0x367790EbeD7953E15957d9B0E92fd7685D8f3b83,1
0xb0D7ACC58AEfe3c4CE38a48Cc6405aDa97d4bB6d,1
